Date,Open,High,Low,Close,Volume
04-Jul-16,1217000,1230000,1204000,1227000,27699
01-Jul-16,1183000,1226000,1183000,1214000,39830
30-Jun-16,1159000,1183000,1148000,1183000,45227
29-Jun-16,1138000,1148000,1130000,1130000,20552
28-Jun-16,1134000,1139000,1117000,1127000,29897
27-Jun-16,1138000,1149000,1124000,1134000,29651
24-Jun-16,1166000,1175000,1111000,1138000,46909
23-Jun-16,1173000,1180000,1154000,1154000,34637
22-Jun-16,1170000,1175000,1165000,1173000,32616
21-Jun-16,1157000,1165000,1148000,1165000,24845
20-Jun-16,1145000,1156000,1141000,1147000,39071
17-Jun-16,1140000,1165000,1140000,1145000,70729
16-Jun-16,1146000,1151000,1131000,1140000,37695
15-Jun-16,1134000,1153000,1130000,1146000,45339
14-Jun-16,1115000,1154000,1115000,1130000,43188
13-Jun-16,1160000,1160000,1113000,1113000,40246
10-Jun-16,1175000,1175000,1155000,1160000,38033
09-Jun-16,1150000,1172000,1150000,1154000,36739
08-Jun-16,1155000,1160000,1129000,1150000,49088
07-Jun-16,1130000,1150000,1130000,1144000,49222
03-Jun-16,1134000,1149000,1127000,1130000,44734
02-Jun-16,1120000,1149000,1119000,1134000,88856
01-Jun-16,1073000,1120000,1066000,1109000,99620
31-May-16,1047000,1080000,1034000,1062000,277897
30-May-16,1063000,1064000,1040000,1047000,37269
27-May-16,1090000,1094000,1059000,1059000,44632
26-May-16,1082000,1082000,1071000,1071000,25357
25-May-16,1052000,1078000,1046000,1071000,33122
24-May-16,1040000,1047000,1037000,1041000,33689
23-May-16,1042000,1045000,1032000,1037000,25491
20-May-16,1035000,1045000,1032000,1032000,33611
19-May-16,1032000,1045000,1026000,1032000,39001
18-May-16,1032000,1038000,1020000,1022000,43438
17-May-16,1028000,1034000,1026000,1032000,48345
16-May-16,1033000,1039000,1025000,1026000,40563
13-May-16,1060000,1060000,1030000,1033000,65073
12-May-16,1081000,1083000,1060000,1060000,32188
11-May-16,1085000,1088000,1076000,1081000,28168
10-May-16,1087000,1090000,1075000,1082000,31184
09-May-16,1060000,1088000,1058000,1087000,76103
04-May-16,1036000,1053000,1032000,1053000,29917
03-May-16,1035000,1044000,1031000,1036000,23543
02-May-16,1042000,1046000,1025000,1026000,32053
29-Apr-16,1035000,1049000,1032000,1043000,35160
28-Apr-16,1082000,1084000,1035000,1043000,45678
27-Apr-16,1081000,1083000,1065000,1074000,23774
26-Apr-16,1066000,1085000,1066000,1081000,18349
25-Apr-16,1076000,1076000,1061000,1072000,9193
22-Apr-16,1075000,1075000,1061000,1074000,10602
21-Apr-16,1075000,1079000,1058000,1067000,35146
20-Apr-16,1080000,1080000,1059000,1067000,24864
19-Apr-16,1079000,1084000,1056000,1061000,29126
18-Apr-16,1075000,1089000,1067000,1089000,23372
